1,0
177,6, 88%, 99%, 99%, 100%, 100%, 100%
178,6, 88%, 99%, 99%, 100%, 100%, 100%
179,6, 80%, 99%, 99%, 100%, 100%, 100%
180,6, 83%, 99%, 99%, 100%, 100%, 100%
181,6, 60%, 97%, 99%, 100%, 100%, 100%
182,6, 63%, 98%, 99%, 100%, 100%, 100%
183,6, 68%, 99%, 99%, 100%, 100%, 100%
184,6, 82%, 99%, 99%, 100%, 100%, 100%
185,6, 72%, 99%, 99%, 100%, 100%, 100%
186,6, 75%, 99%, 99%, 100%, 100%, 100%
187,6, 56%, 99%, 100%, 100%, 100%, 100%
188,6, 70%, 99%, 100%, 100%, 100%, 100%
189,6, 79%, 99%, 100%, 100%, 100%, 100%
190,6, 78%, 99%, 100%, 100%, 100%, 100%
191,6, 73%, 99%, 100%, 100%, 100%, 100%
192,6, 81%, 99%, 100%, 100%, 100%, 100%
193,6, 79%, 98%, 100%, 100%, 100%, 100%
194,6, 86%, 99%, 100%, 100%, 100%, 100%
195,6, 86%, 99%, 100%, 100%, 100%, 100%
196,6, 90%, 99%, 100%, 100%, 100%, 100%
197,6, 92%, 99%, 100%, 100%, 100%, 100%
198,6, 94%, 99%, 100%, 100%, 100%, 100%
199,6, 94%, 99%, 100%, 100%, 100%, 100%
200,6, 94%, 99%, 100%, 100%, 100%, 100%
201,6, 93%, 99%, 100%, 100%, 100%, 100%
202,6, 98%, 99%, 100%, 100%, 100%, 100%
203,6, 99%, 99%, 100%, 100%, 100%, 100%
204,6, 99%, 99%, 100%, 100%, 100%, 100%
205,6, 98%, 99%, 100%, 100%, 100%, 100%
206,6, 99%, 99%, 100%, 100%, 100%, 100%
207,6, 99%, 99%, 100%, 100%, 100%, 100%
208,6, 99%, 100%, 100%, 100%, 100%, 100%
209,6, 99%, 99%, 100%, 100%, 100%, 100%
210,6, 99%, 99%, 99%, 100%, 100%, 100%
211,6, 99%, 99%, 100%, 100%, 100%, 100%
212,6, 99%, 99%, 100%, 100%, 100%, 100%
213,6, 99%, 99%, 100%, 100%, 100%, 100%
214,6, 99%, 99%, 100%, 100%, 100%, 100%
215,6, 99%, 99%, 100%, 100%, 100%, 100%
216,6, 99%, 99%, 100%, 100%, 100%, 100%
217,6, 99%, 99%, 100%, 100%, 100%, 100%
218,6, 99%, 99%, 100%, 100%, 100%, 100%
219,6, 99%, 99%, 100%, 100%, 100%, 100%
220,6, 99%, 99%, 99%, 100%, 100%, 100%
221,6, 28%, 99%, 99%, 100%, 100%, 100%
222,6, 81%, 98%, 99%, 100%, 100%, 100%
223,6, 96%, 99%, 100%, 100%, 100%, 100%
224,6, 94%, 98%, 100%, 100%, 100%, 100%
225,6, 92%, 99%, 99%, 100%, 100%, 100%
226,6, 92%, 99%, 99%, 100%, 100%, 100%
227,6, 96%, 99%, 100%, 100%, 100%, 100%
228,6, 96%, 99%, 100%, 100%, 100%, 100%
229,6, 97%, 99%, 100%, 100%, 100%, 100%
230,6, 98%, 99%, 99%, 100%, 100%, 100%
231,6, 96%, 99%, 99%, 100%, 100%, 100%
232,6, 96%, 99%, 99%, 100%, 100%, 100%
233,6, 96%, 99%, 99%, 100%, 100%, 100%
234,6, 95%, 99%, 99%, 100%, 100%, 100%
235,6, 97%, 98%, 99%, 100%, 100%, 100%
236,6, 96%, 98%, 99%, 100%, 100%, 100%
237,6, 96%, 99%, 99%, 100%, 100%, 100%
238,6, 96%, 99%, 99%, 100%, 100%, 100%
239,6, 97%, 99%, 99%, 100%, 100%, 100%
240,6, 97%, 99%, 99%, 100%, 100%, 100%
241,6, 83%, 97%, 99%, 100%, 100%, 100%
242,6, 92%, 98%, 99%, 100%, 100%, 100%
243,6, 89%, 98%, 99%, 100%, 100%, 100%
244,6, 94%, 98%, 99%, 100%, 100%, 100%
245,6, 95%, 98%, 99%, 100%, 100%, 100%
246,6, 96%, 99%, 99%, 100%, 100%, 100%
247,6, 94%, 98%, 99%, 100%, 100%, 100%
248,6, 96%, 98%, 99%, 100%, 100%, 100%
249,6, 97%, 98%, 99%, 100%, 100%, 100%
250,6, 95%, 99%, 99%, 100%, 100%, 100%
251,6, 97%, 99%, 99%, 100%, 100%, 100%
252,6, 96%, 98%, 99%, 100%, 100%, 100%
253,6, 95%, 99%, 99%, 100%, 100%, 100%
254,6, 95%, 99%, 99%, 100%, 100%, 100%
255,6, 94%, 99%, 100%, 100%, 100%, 100%
256,6, 96%, 99%, 99%, 100%, 100%, 100%
257,6, 97%, 99%, 100%, 100%, 100%, 100%
258,6, 97%, 99%, 100%, 100%, 100%, 100%
259,6, 94%, 99%, 99%, 100%, 100%, 100%
260,6, 96%, 98%, 99%, 100%, 100%, 100%
261,6, 94%, 98%, 99%, 100%, 100%, 100%
262,6, 95%, 98%, 99%, 100%, 100%, 100%
263,6, 96%, 99%, 99%, 100%, 100%, 100%
264,6, 92%, 99%, 99%, 100%, 100%, 100%
265,6, 95%, 98%, 100%, 100%, 100%, 100%
266,6, 90%, 98%, 99%, 100%, 100%, 100%
267,6, 92%, 99%, 99%, 100%, 100%, 100%
268,6, 87%, 99%, 99%, 100%, 100%, 100%
269,6, 92%, 98%, 99%, 100%, 100%, 100%
270,6, 89%, 96%, 99%, 100%, 100%, 100%
271,6, 93%, 96%, 99%, 100%, 100%, 100%
272,6, 87%, 97%, 99%, 100%, 100%, 100%
273,6, 86%, 98%, 99%, 100%, 100%, 100%
274,6, 65%, 98%, 99%, 100%, 100%, 100%
275,6, 36%, 96%, 98%, 100%, 100%, 100%
